tns_name,internam_names,radeg,decdeg,redshift,discovery_date,discovery_mag,type
SN2022bke,"ATLAS22epa,ZTF22aaakxyo,Gaia22aqa,PS22jdw",48.796417,-7.494739,0.0317,2022-02-04 05:09:36.000,18.405,SN II
SN2022bl,"ATLAS22akl,ZTF22aaaedvr,PS22auu,Gaia22aoy",208.542042,9.411269,0.022866,2022-01-05 14:11:02.400,17.947,SN II
SN2022bse,"ATLAS22fkh,ZTF22aaahesb,PS22bnf",105.259578355,51.265466359,0.020954,2022-02-09 08:23:15.072,18.998,SN II
SN2022btu,"ATLAS22fmz,ZTF22aaaooyv,Gaia22aqz,PS22dwp",193.560167,-24.43395,0.01,2022-02-10 00:50:10.176,18.84,SN II
SN2022byi,ZTF22aaafpbi,261.8838496,12.4315176,0.02,2022-02-11 12:11:31.200,18.26,SN II
SN2022cap,"ZTF22aaagrqi,Gaia22apd,PS22hch",26.656583,-3.770081,0.017859,2022-02-12 03:15:50.400,17.12,SN II
SN2022cat,"ZTF22aaahhbo,ATLAS22gbq",104.5573266,49.0342563,0.045,2022-02-12 05:44:09.600,18.93,SN II
SN2022cek,"ZTF22aaambwy,PS22bio,ATLAS22gna,Gaia22ata",76.3935,11.55355,0.033,2022-02-13 05:08:09.600,19.05,SN II
SN2022ces,"PS22bcz,ZTF22aaaowlo",208.560559453,-1.4429268619,0.024193,2022-02-12 14:23:02.112,18.57,SN II
SN2022csd,ZTF22aaawghw,155.3830965,8.4055295,0.0326679982,2022-02-19 08:05:42.720,19.5131,SN II
SN2022cvp,"ZTF22aabjpii,ATLAS22gww,PS22drn",221.127118968,18.7343569762,0.044,2022-02-20 10:29:50.997,19.3141,SN II
SN2022cvs,"ZTF22aaajrap,PS22bng",204.875001325,39.0549125366,0.027,2022-02-20 08:50:15.996,19.8234,SN II
SN2022cz,"ATLAS22apg,ZTF22aaaeilq",152.636117,-23.9785057,0.031712,2022-01-06 15:11:31.200,18.579,SN II
SN2022dbk,"ATLAS22gvj,ZTF22aabrkjs",42.1096627,50.7574341,0.016455,2022-02-23 06:26:36.672,18.529,SN II
SN2022dml,"ZTF22aabzsqo,ATLAS22hvp,PS22bzm,Gaia22bmo",244.371333,14.41795,0.03,2022-02-27 10:49:26.400,18.53,SN II
SN2022dv,"ATLAS22aru,Gaia22aej,PS22xt,ZTF22aaahahx",57.128583,0.892481,0.025,2022-01-07 07:43:40.800,19.262,SN II
SN2022ec,"ATLAS22ary,Gaia22agr,PS22akl,ZTF22aaaelju",216.279833,-13.164939,0.011294,2022-01-07 14:51:21.600,18.835,SN II
SN2022etp,"ATLAS22jcg,ZTF22aadfnrx,ZTF22aafvbai,Gaia22chf",215.543083,25.098811,0.038667,2022-03-13 11:28:50.304,18.894,SN II
SN2022eui,"ATLAS22jcw,ZTF18aazjflo,Gaia22blb",231.464167,38.77055,0.044142,2022-03-11 10:07:32.160,18.676,SN II
SN2022ewy,"ATLAS22jhc,ZTF22aadidwa,Gaia22bpf",81.774667,5.713169,0.028,2022-03-18 06:10:29.856,18.423,SN II
SN2022exf,"ATLAS22jhz,ZTF22aadewot,PS22eqe",222.332051971,23.1467205111,0.036,2022-03-20 12:06:08.064,18.458,SN II
SN2022eyu,"ATLAS22jlk,PS22cgc,ZTF22aadoypp",173.705651139,11.2534753863,0.036,2022-03-22 11:31:33.600,18.567,SN II
SN2022fab,"ATLAS22jmg,ZTF22aadfbbs,ZTF22aafunab,Gaia22cau",185.665167,27.746669,0.024,2022-03-23 11:00:36.000,18.565,SN II
SN2022fae,"ATLAS22jmv,ZTF22aadmbfq",152.8652786,-26.5844547,0.042,2022-03-23 03:38:38.112,18.914,SN II
SN2022ffg,"ATLAS22jsz,PS22clj,ZTF22aadksbz,ZTF22aafxzfb,Gaia22bxs",153.450958,18.127319,0.012,2022-03-26 07:21:12.096,18.78,SN II
SN2022fny,"ATLAS22kgw,ZTF22aadolby,PS22dks",270.03189057,68.5868111332,0.02,2022-03-31 14:15:33.696,18.862,SN II
SN2022fps,"ATLAS22kig,ZTF22aaddtiu,PS22ctv,ZTF22aaftjpg,Gaia22cby",202.588542,30.297269,0.03735,2022-03-31 11:19:31.296,19.349,SN II
SN2022fqe,"ATLAS22kko,ZTF22aaemoot,PS22dov",237.100361698,-13.7591559819,0.025,2022-04-01 12:46:02.208,17.96,SN II
SN2022frq,"ZTF22aadnqsf,ATLAS22kst,ZTF22aaganrm,Gaia22ctr",201.987,-13.416481,0.022579,2022-04-02 08:30:50.996,18.8276,SN II
SN2022fsy,"ZTF22aaddwlv,ZTF22aaftnrt",170.8883975,39.7874098,0.0217,2022-04-02 08:55:12.288,20.1031,SN II
SN2022giv,"ZTF18aaqkywr,ATLAS22lma,PS22dhd",185.812140596,51.1912069055,0.03118,2022-04-02 10:18:00.288,19.5047,SN II
SN2022gjo,"ZTF22aaedebi,ATLAS22mum,ZTF22aagpxll,PS22edv,Gaia22cbh",283.097417,73.190489,0.024874,2022-04-04 08:12:28.800,18.9,SN II
SN2022gkd,"ZTF22aaeasul,ZTF22aagnxfy",203.0559838,-22.6289373,0.030248,2022-04-03 07:31:58.368,19.3812,SN II
SN2022gnr,"ZTF22aaegxpa,ATLAS22miv,PS22edx,ZTF22aagqsna,Gaia22cgt",326.166792,2.228139,0.0401,2022-04-04 12:14:24.000,18.6,SN II
SN2022gwg,"ZTF22aaevwec,ATLAS22ljj,PS22dgh",207.607049893,68.5550610234,0.031218,2022-04-07 09:29:59.997,18.7421,SN II
SN2022hna,"ZTF19abkxeft,ATLAS22lmk",238.0960003,61.3873002,0.0368,2022-04-10 06:52:37.920,18.774,SN II
SN2022hql,"ZTF22aafsqud,ATLAS22mnb",207.02587985,12.074962549999999,0.023,2022-04-15 07:09:27.996,18.541,SN II
SN2022hss,"ATLAS22mhs,PS22dkl,ZTF22aagvgwl,Gaia22cbi",186.409958,7.1925,0.025,2022-04-18 05:04:56.928,18.215,SN II
SN2022iea,"ATLAS22mqs,ZTF22aahhrks,PS22enb",205.406416591,14.2937420496,0.0426,2022-04-23 08:31:39.648,18.875,SN II
SN2022iek,"ZTF22aahgubb,ATLAS22mvp,Gaia22byd",160.316833,6.358589,0.021,2022-04-24 04:35:52.996,19.3181,SN II
SN2022igz,"ZTF22aahjcmv,PS22ejp",242.242106399,27.1665393947,0.0314,2022-04-14 09:21:59.328,20.4448,SN II
SN2022iid,"ZTF22aahnkdv,ATLAS22mzh,Gaia22cmj,PS22hav",273.911208,73.135,0.014,2022-04-25 10:16:28.998,17.1819,SN II
SN2022iir,"ZTF22aahhgfx,PS22eno",201.143857328,15.4370449604,0.008,2022-04-25 08:56:06.003,19.4996,SN II
SN2022ikc,"ZTF22aahibvx,PS22dvk,ATLAS22neo",220.035087806,0.906996861098,0.0343,2022-04-24 07:33:36.000,19.62,SN II
SN2022inn,"ZTF22aahwmww,ATLAS22oez,Gaia22ckx",170.362792,63.0235,0.010837,2022-04-27 04:55:20.001,19.0463,SN II
SN2022iob,"ZTF22aahyqkz,ATLAS22olu",287.654509,37.6551931,0.028,2022-04-27 10:22:16.032,19.8703,SN II
SN2022irp,"ZTF22aaialae,ATLAS22nga",134.197793,29.9229834,0.033047,2022-04-28 04:17:45.600,19.14,SN II
SN2022jc,"ATLAS22bgv,ZTF22aaaepao,Gaia22aqi,PS22cas",237.606875,6.77065,0.024775,2022-01-09 15:23:02.400,18.546,SN II
SN2022jdf,"ZTF22aaitzvr,ATLAS22nks,PS22eoi",229.617675776,5.23966365306,0.04,2022-05-01 07:08:05.001,19.6853,SN II
SN2022jnq,"ZTF22aajhyin,ATLAS22nzp,PS22ehn",196.124499304,3.67222747045,0.03,2022-05-08 06:03:41.996,19.5334,SN II
SN2022jnw,"ZTF22aajhlaj,ATLAS22ntz,PS22eeb,Gaia22clh",189.537917,71.416519,0.023583,2022-05-08 04:14:59.997,18.5171,SN II
SN2022jnz,"ZTF22aajeyek,ATLAS22nud,PS22ecu",280.681316227,47.8836027148,0.05,2022-05-02 09:50:22.004,21.0903,SN II
SN2022joe,"ZTF22aajipum,PS22ebp,ATLAS22orm",217.336029494,-22.9359870257,0.025858,2022-05-08 06:33:07.200,19.82,SN II
SN2022joy,"ZTF22aajhkpo,ATLAS22nvf,PS22egj,Gaia22cij",175.813208,32.852431,0.0333359987,2022-05-09 05:43:35.040,19.1066,SN II
SN2022jps,"ATLAS22ntc,ZTF22aajjawt,PS22eez,Gaia22cis",242.560208,36.214281,0.027,2022-05-09 10:08:02.400,18.163,SN II
SN2022jpw,"ZTF22aajlsrh,ATLAS22nvs,Gaia22dvi",272.190375,3.990039,0.031,2022-05-09 09:04:28.004,17.978,SN II
SN2022jtc,"ZTF22aajsdkt,ATLAS22oak,PS22fzn",268.96017282,1.33558578704,0.02,2022-05-11 09:07:30.999,19.535,SN II
SN2022juw,"ZTF22aajuufc,ATLAS22nxy,Gaia22cjc",127.631125,18.2038,0.028,2022-05-13 04:26:24.000,18.59,SN II
SN2022jux,"ZTF22aajutqu,PS22een",121.842737425,40.3929995709,0.026358,2022-05-13 04:24:57.600,18.96,SN II
SN2022jzc,"ZTF22aakdbia,ATLAS22nyt,Gaia22cjh",181.369458,50.526889,0.0029,2022-05-16 04:53:45.600,17.8,SN II
SN2022jzx,"ATLAS22oas,MASTER OT J010209.83-041406.8,Gaia22ctu,ZTF22aapubaf,PS22hcg",15.541083,-4.235169,0.017,2022-05-16 09:51:33.984,16.888,SN II
SN2022kad,"ATLAS22obx,ZTF22aakdqqg,PS22exe",224.680536616,11.6308099936,0.01991,2022-05-17 11:55:05.376,17.861,SN II
SN2022kbm,"ZTF22aakaygk,PS22eje,ATLAS22okl,Gaia22cxp",246.326333,9.02035,0.03,2022-05-15 07:21:31.000,18.7088,SN II
SN2022kbn,"ZTF22aajowwt,PS22ehd,ATLAS22otf",220.859729955,-14.3339836512,0.04106,2022-05-10 08:02:24.000,18.77,SN II
SN2022kbu,"ATLAS22ocm,Gaia22caa,ZTF22aapucey,PS22hkz",359.47925,-14.042039,0.0301,2022-05-18 09:02:07.008,18.538,SN II
SN2022kdr,"ZTF22aakiafr,PS22egn,ATLAS22vif",270.350410541,73.8624868959,0.04,2022-05-19 07:09:42.002,20.1031,SN II
SN2022kpm,"ZTF22aakvfvr,ZTF22aakqdrn",181.7947527,13.2493168,0.0211,2022-05-13 06:50:23.000,19.54,SN II
SN2022kye,"PS22epo,ZTF22aamrkns,ATLAS22qhm,Gaia22cod",315.4495,-19.536331,0.041,2022-05-25 12:40:34.752,20.76,SN II
