,_q,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,Flag1,RAJ2000,DEJ2000,Dist,z,Bmag,BMAG,Jmag,Hmag,Kmag,Flag2,Flag3
12,234,,---,---,---,085016.28+233447.0,Q,132.567847532,23.5797325539,17224.3106188,2.12774395943,,,,,,1,0
13,236,,---,SDSSJ090325.86+355141.2,---,---,G,135.858,35.86146,907.821,0.186017673009,,,,,,2,0
14,242,,---,---,07312392-2226072,---,G,112.84967,-22.435335,,,,,,14.012,13.43,0,0
15,264,,---,2687625,08204322+6628349,---,G,125.180122,66.476379,786.105795786,0.163378,17.746,-21.7314,14.417,13.766,13.172,1,0
16,274,,---,2760281,07501485+7408451,---,G,117.561905,74.145874,849.406744485,0.17522,17.948,-21.6976,14.892,14.213,13.417,1,0
17,290,,---,SDSSJ083905.16+390122.8,---,---,G,129.771,39.02299,903.649,0.185250332625,18.77,-21.01,,,,2,0
18,294,,---,SDSSJ085316.00+412433.1,---,---,G,133.317,41.40915,,,19.18,,,,,0,0
19,296,,---,---,08512972+3948487,---,G,132.87384,39.813538,404.236240335,0.08834,16.93,-21.1032,14.845,14.208,13.808,1,0
20,302,,---,---,07345069-0507072,---,G,113.711227,-5.118683,,,,,15.389,,14.061,0,0
21,302,,---,77689,---,---,G,113.722,-5.1172,,,,,,,,0,0
22,308,,---,---,07300338-0206340,---,G,112.514114,-2.10946,195.353367367,0.044052,15.629,-20.8251,14.003,13.368,12.988,1,1
23,308,,---,77402,---,---,G,112.514,-2.10944,,,16.84,,,,,0,0
24,319,,---,---,07575393+6532017,---,G,119.474739,65.533829,510.571556055,0.10992,17.96,-20.5803,15.006,14.171,13.802,1,0
25,328,,---,---,09410312-2528003,---,G,145.263,-25.466751,391.242135407,0.085662,17.191,-20.7712,14.658,13.938,13.45,1,0
26,348,,---,---,07403945-2749320,---,G,115.164406,-27.825569,59.2987440702,0.014124,15.461,-18.4042,14.656,13.86,13.181,1,1
27,367,,---,---,---,082309.80+140259.5,Q,125.790866905,14.0498627569,22282.7138222,2.625,,,,,,1,0
28,388,,---,---,---,084527.36+450303.9,Q,131.364039512,45.0511071704,21869.0312421,2.585,,,,,,1,0
29,398,,---,859693,08490317-1906209,---,G,132.263214,-19.10581,220.545319193,0.049703,16.445,-20.2725,13.783,13.018,12.663,1,1
30,420,,---,779400,09410968-2524012,---,G,145.290344,-25.400354,408.034232822,0.089121,16.573,-21.4805,14.248,13.605,13.071,1,0
31,444,,---,---,09493313-2702388,---,G,147.388046,-27.044113,,,,,,14.743,13.988,0,0
32,448,,---,---,09420438-1919363,---,G,145.518265,-19.326754,539.23162389,0.115639,17.867,-20.7919,15.07,14.234,13.875,1,0
33,465,,---,1455496,08535515+1420103,---,G,133.479813,14.336211,535.290925987,0.114855,18.423,-20.2199,15.148,14.263,13.674,1,0
34,481,,---,2007051,---,---,G,132.776,32.6618,303.389,0.0673052436526,18.15,-19.26,,,,2,0
35,491,,---,SDSSJ084812.65+131547.8,---,---,G,132.053,13.26339,669.885,0.141228220614,18.22,-20.91,,,,2,0
36,491,,---,SDSSJ084817.09+131601.2,---,---,G,132.071,13.26699,701.455,0.14729932365,18.37,-20.86,,,,2,0
37,492,,---,SDSSJ085018.95+233415.1,---,---,G,132.579,23.57079,,,18.32,,,,,0,0
38,492,,---,---,---,085016.28+233447.0,Q,132.567847532,23.5797325539,17224.3106188,2.12774395943,,,,,,1,0
39,494,,---,SDSSJ090325.86+355141.2,---,---,G,135.858,35.86146,907.821,0.186017673009,,,,,,2,0
40,498,,---,---,07575393+6532017,---,G,119.474739,65.533829,510.571556055,0.10992,17.96,-20.5803,15.006,14.171,13.802,1,0
