 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 22 589 1 1 ZTF_r 504437440115 0 14.5878 151.268 16.9466 26.2665 9.2893e-06 0.0270456 0.0895826 1.17087e-05 1438 30. 0.18071 0.171196 20.026 26.2665 1 2458258.9374421 589120201 -35.9464694352519 39.3045296001137 -1.01734543274662 1.14245385925501 -14.3554524304575 58.0035410003289 -0.24915956817937 1.11305717294241 1.69778742291087 18.8140000343323 0.0410000011324883 1.57299995422363 0.034000001847744 2458187.028900 2458343.823287 0
 23 589 1 1 ZTF_g 504461710115 0 2.3109 93.4948 8.29965 26.2696 3.5937e-06 0.0188585 -0.0377888 4.54096e-06 1826 30. 0.089506 0.084302 21.0138 26.2696 1 2458258.961713 589120101 -57.7069636440468 18.6726160401368 -3.43777823586296 1.0592785009689 -30.1865980533401 30.791419933544 -0.986960217930901 1.10835284598603 1.52917588432874 20.2609998703003 0.0700000002980232 1.68499994277954 0.063000001013279 2458204.005521 2458293.913194 0
 24 589 1 1 ZTF_r 512374790115 0 1.9876 157.287 18.3962 26.2203 2.5949e-06 0.0159608 0.0973392 3.30163e-06 1843 30. 0.065129 0.065915 19.821 26.2203 1 2458266.8747917 589120201 -165.1061932243 48.7525508140201 -3.76721859964386 1.07446555887244 -84.4731691305288 88.7409135932379 -0.958318968571665 1.06533279712586 1.69778742291087 18.8140000343323 0.0410000011324883 1.57299995422363 0.034000001847744 2458187.028900 2458343.823287 0
 25 589 1 1 ZTF_g 512441970115 0 12.9299 96.8959 15.2469 26.2414 8.0222e-06 0.0281081 -0.0186971 1.02046e-05 1826 30. 0.095326 0.093143 19.291 26.2414 1 2458266.9419792 589120101 6.6655404464305 75.6995070931429 0.0979483484346078 1.03835802491176 74.1068852394558 110.010350709599 0.678172543711078 1.12811418416821 1.52917588432874 20.2609998703003 0.0700000002980232 1.68499994277954 0.063000001013279 2458204.005521 2458293.913194 0
 26 589 1 1 ZTF_r 515379130115 0 2.3318 157.092 18.6876 26.1921 2.6676e-06 0.0162318 0.0739082 3.4075e-06 1848 30. 0.061853 0.069427 19.3802 26.1921 1 2458269.8791319 589120201 -83.9281332709109 63.7894217452935 -1.46357067622604 1.00111694370464 -150.260534446768 116.129363495459 -1.30262100159886 1.0548417733836 1.69778742291087 18.8140000343323 0.0410000011324883 1.57299995422363 0.034000001847744 2458187.028900 2458343.823287 0
 27 589 1 1 ZTF_g 515458280115 0 2.406 92.0865 18.2141 26.1993 7.2862e-06 0.0268856 -0.0197728 9.28322e-06 1835 30. 0.065721 0.06751 19.3231 26.1993 1 2458269.958287 589120101 62.1815493039438 75.0436114685275 0.921727645360059 1.18439892300598 86.4993986482799 120.005767021301 0.725648268715739 1.11573151055544 1.52917588432874 20.2609998703003 0.0700000002980232 1.68499994277954 0.063000001013279 2458204.005521 2458293.913194 0
 28 589 1 1 ZTF_r 516406070115 0 2.2882 158.529 19.404 26.1945 2.93e-06 0.0169444 0.0913362 3.72023e-06 1833 30. 0.080787 0.083487 19.4075 26.1945 1 2458270.9060764 589120201 -21.9105076003026 61.9796468094476 -0.393240412483498 0.988373241956683 57.9248878654926 106.976543873809 0.545119642178372 1.07577413619649 1.69778742291087 18.8140000343323 0.0410000011324883 1.57299995422363 0.034000001847744 2458187.028900 2458343.823287 0
 29 589 1 1 ZTF_r 516406520115 0 2.2678 154.554 19.3981 26.1929 2.4134e-06 0.0153326 0.085551 3.06879e-06 1832 30. 0.080124 0.080772 19.4197 26.1929 1 2458270.9065278 589120201 43.0355379382435 67.9402924552898 0.704619446706977 0.981142141570112 37.2228279734003 117.345874309644 0.31934250847653 1.0766418399172 1.69778742291087 18.8140000343323 0.0410000011324883 1.57299995422363 0.034000001847744 2458187.028900 2458343.823287 0
 30 1585 10 0 ZTF_r 516406993615 0 2.2712 564.924 19.745 26.2818 3.5788e-06 0.0172116 0.0894791 3.80364e-06 1792 30. 0.077602 0.080326 19.4587 26.2818 2 2458270.9069907 1585120236 null null null null null null null null null null null null null 2458270.906991 2458685.833831 57,61
 31 589 1 1 ZTF_g 518396560115 0 1.9353 95.3977 12.0321 26.2669 3.1946e-06 0.0178014 -0.0457983 4.08538e-06 1842 30. 0.053606 0.055602 20.3391 26.2669 1 2458272.8965625 589120101 -50.4793735697693 32.3932787728488 -1.73346009879462 0.96360894395966 -74.2559297068309 57.6981873857679 -1.29563944818402 1.07274653396772 1.52917588432874 20.2609998703003 0.0700000002980232 1.68499994277954 0.063000001013279 2458204.005521 2458293.913194 0
 32 589 1 1 ZTF_r 518440620115 0 2.7662 158.08 15.7533 26.2278 3.4546e-06 0.0184308 0.0933245 4.40512e-06 1845 30. 0.118712 0.111304 19.6944 26.2278 1 2458272.940625 589120201 -44.742779219645 53.5942490532928 -0.928666047925873 1.04485039951726 17.4206428920077 86.0752883023126 0.203751532757972 1.09171285272216 1.69778742291087 18.8140000343323 0.0410000011324883 1.57299995422363 0.034000001847744 2458187.028900 2458343.823287 0
 33 589 1 1 ZTF_g 520393560115 0 1.9921 99.7653 8.68782 26.3077 2.6472e-06 0.0161098 -0.0511475 3.38694e-06 1838 30. 0.057878 0.062236 20.653 26.3077 1 2458274.8935648 589120101 4.07662177006814 24.625518583792 0.184149199574929 0.995748506846484 -69.8580708868199 42.9762439445475 -1.63645220145962 1.07833736579355 1.52917588432874 20.2609998703003 0.0700000002980232 1.68499994277954 0.063000001013279 2458204.005521 2458293.913194 0
 34 589 1 1 ZTF_r 521377070115 0 2.2146 158.229 15.0165 26.2654 2.0756e-06 0.0142874 0.0815988 2.66153e-06 1832 30. 0.088554 0.089896 20.4472 26.2654 1 2458275.8770718 589120201 -61.4611776927267 28.1938953845991 -2.42493775289215 1.00653753408059 -68.4108175760247 49.7628423522129 -1.38399587147672 1.07039251082653 1.69778742291087 18.8140000343323 0.0410000011324883 1.57299995422363 0.034000001847744 2458187.028900 2458343.823287 0
 35 1585 10 1 ZTF_r 523416113715 0 1.4977 564.055 12.6482 26.273 2.5918e-06 0.0159062 0.102744 3.93683e-06 1752 30. 0.0727 0.064962 20.7359 26.273 2 2458277.9161111 1585120237 null null null null null null null null null null null null null 2458270.906991 2458685.833831 57,61
 36 589 1 1 ZTF_r 524332230115 0 1.9299 158.949 11.6215 26.2511 2.1025e-06 0.0141719 0.10126 2.65853e-06 1805 30. 0.077724 0.08213 20.7788 26.2511 1 2458278.8322338 589120201 -86.0929346760633 19.867299205377 -4.82040447222354 1.02493208060635 -108.846624915835 35.998909937637 -3.04397309215626 1.07295432883924 1.69778742291087 18.8140000343323 0.0410000011324883 1.57299995422363 0.034000001847744 2458187.028900 2458343.823287 0
 37 589 1 1 ZTF_g 524378250115 0 1.6571 98.6777 5.58131 26.2877 2.7141e-06 0.0161277 -0.0533956 3.4201e-06 1798 30. 0.061706 0.060434 20.976 26.2877 1 2458278.8782523 589120101 -52.577217591312 18.2946673434192 -3.19689140070015 1.04636865430833 -49.7032166550747 33.0982934093506 -1.51179911483836 1.08056694235322 1.52917588432874 20.2609998703003 0.0700000002980232 1.68499994277954 0.063000001013279 2458204.005521 2458293.913194 0
 38 1585 10 0 ZTF_r 526375213615 0 1.6292 585.478 12.8551 26.3726 7.1656e-06 0.0242191 0.0774858 7.59191e-06 1756 30. 0.081876 0.086587 20.7466 26.3726 2 2458280.8752199 1585120236 null null null null null null null null null null null null null 2458270.906991 2458685.833831 57,61
 39 589 1 1 ZTF_r 526395810115 0 1.571 167.191 8.94661 26.2754 3.3143e-06 0.0178629 0.0987756 4.17737e-06 1807 30. 0.077898 0.068138 20.8548 26.2754 1 2458280.8958102 589120201 -76.0302923236431 17.4642306092733 -4.84274948844998 1.230934644623 -53.2104021054113 32.8428136265197 -1.631065408531 1.06084000742081 1.69778742291087 18.8140000343323 0.0410000011324883 1.57299995422363 0.034000001847744 2458187.028900 2458343.823287 0
 40 589 1 1 ZTF_r 526396260115 0 1.4422 166.508 8.85077 26.2797 3.0004e-06 0.0169854 0.0890791 3.78239e-06 1801 30. 0.081264 0.06765 20.9012 26.2797 1 2458280.8962616 589120201 -43.5683616709617 17.0025575580237 -2.8504391648631 1.24885576421493 1.1058825093444 32.296169390653 0.0344725307266283 1.06287388422551 1.69778742291087 18.8140000343323 0.0410000011324883 1.57299995422363 0.034000001847744 2458187.028900 2458343.823287 0
 41 589 1 1 ZTF_r 527357300115 0 1.8944 157.081 11.8525 26.2609 3.4968e-06 0.0184188 0.108576 4.42658e-06 1823 30. 0.083107 0.08456 20.8156 26.2609 1 2458281.8573032 589120201 127.652867317256 20.3808985903973 6.96726047733892 1.14248872705895 107.98024393497 35.2233960421945 3.08622987290276 1.07756401522633 1.69778742291087 18.8140000343323 0.0410000011324883 1.57299995422363 0.034000001847744 2458187.028900 2458343.823287 0
 42 589 1 1 ZTF_r 529375060115 0 1.8627 166.559 9.20657 26.2928 2.2023e-06 0.0145404 0.0902253 2.77458e-06 1805 30. 0.072406 0.074537 20.8131 26.2928 1 2458283.8750694 589120201 -88.4889085704967 20.6282317420619 -4.77179346298382 1.07827992602066 -64.7282677461067 37.8138475627577 -1.72328976165046 1.06469724824532 1.69778742291087 18.8140000343323 0.0410000011324883 1.57299995422363 0.034000001847744 2458187.028900 2458343.823287 0
 43 589 1 1 ZTF_r 530329930115 0 1.8827 153.718 9.28265 26.1761 3.2304e-06 0.0175824 0.105443 4.07242e-06 1802 30. 0.072074 0.072409 20.4858 26.1761 1 2458284.8299306 589120201 22.2623532727194 22.9395692426854 1.07954465806543 0.950250672682304 44.3229933679813 42.3898558430448 1.05264597840701 1.0609374378343 1.69778742291087 18.8140000343323 0.0410000011324883 1.57299995422363 0.034000001847744 2458187.028900 2458343.823287 0
 44 589 1 1 ZTF_g 530395810115 0 1.8946 82.328 5.71053 26.1014 3.3126e-06 0.0178773 -0.0504168 4.17068e-06 1800 30. 0.058399 0.062141 20.7591 26.1014 1 2458284.8958102 589120101 25.3918819712587 18.6945158413089 1.51089912502829 0.926878403874991 41.7496620789708 33.2123356383971 1.26551920084004 1.08010055104369 1.52917588432874 20.2609998703003 0.0700000002980232 1.68499994277954 0.063000001013279 2458204.005521 2458293.913194 0
 45 1585 10 0 ZTF_r 531357083615 0 1.7856 583.336 12.2879 26.35 3.5952e-06 0.0171251 0.0930844 3.81625e-06 1762 30. 0.080641 0.087962 20.7599 26.35 2 2458285.8570833 1585120236 null null null null null null null null null null null null null 2458270.906991 2458685.833831 57,61
 46 1585 10 0 ZTF_r 531357533615 0 1.6882 587.955 12.0703 26.352 5.5622e-06 0.021171 0.0888952 5.92276e-06 1761 30. 0.078486 0.081948 20.7966 26.352 2 2458285.8575347 1585120236 null null null null null null null null null null null null null 2458270.906991 2458685.833831 57,61
