JD,Band,Flux,Fluxerr,Mag,Magerr
2452756.92484,I,0.000468,0.000007,16.876337,0.016240
2452760.86786,I,0.000563,0.000008,16.675681,0.015428
2452766.921,I,0.000519,0.000008,16.764033,0.016736
2452770.79179,I,0.000506,0.000008,16.791575,0.017166
2452783.73639,I,0.000504,0.000006,16.795875,0.012925
2452785.84837,I,0.000457,0.000008,16.902161,0.019006
2452786.90174,I,0.000578,0.000010,16.647132,0.018784
2452789.71198,I,0.000584,0.000007,16.635919,0.013014
2452791.69316,I,0.000514,0.000007,16.774544,0.014786
2452794.89726,I,0.000544,0.000008,16.712954,0.015967
2452796.77895,I,0.000558,0.000007,16.685366,0.013620
2452797.94162,I,0.000447,0.000007,16.926183,0.017003
2452803.61381,I,0.000512,0.000020,16.778777,0.042412
2452809.68511,I,0.000550,0.000007,16.701045,0.013818
2452810.85197,I,0.000475,0.000007,16.860218,0.016000
2452811.88376,I,0.000556,0.000008,16.689265,0.015622
2452813.68052,I,0.000498,0.000008,16.808878,0.017442
2452814.70276,I,0.000553,0.000007,16.695139,0.013743
2452816.56582,I,0.000507,0.000007,16.789432,0.014990
2452818.55332,I,0.000591,0.000009,16.622983,0.016534
2452820.71844,I,0.000568,0.000008,16.666081,0.015292
2452826.7189,I,0.000480,0.000007,16.848848,0.015834
2452834.75537,I,0.000517,0.000012,16.768225,0.025201
2452836.69982,I,0.000500,0.000008,16.804527,0.017372
2452837.59711,I,0.000469,0.000010,16.874019,0.023150
2452839.64535,I,0.000487,0.000009,16.833129,0.020065
2452841.65871,I,0.000525,0.000008,16.751553,0.016545
2452843.59364,I,0.000577,0.000007,16.649012,0.013172
2452849.79895,I,0.000509,0.000010,16.785157,0.021331
2452852.49586,I,0.000493,0.000010,16.819834,0.022023
2452854.49348,I,0.000582,0.000010,16.639644,0.018655
2452856.68315,I,0.000569,0.000008,16.664171,0.015265
2452858.64852,I,0.000615,0.000007,16.579764,0.012358
2452862.57507,I,0.000493,0.000008,16.819834,0.017618
2452865.68442,I,0.000575,0.000007,16.652782,0.013218
2452868.5642,I,0.000578,0.000007,16.647132,0.013149
2452871.67141,I,0.000608,0.000007,16.592193,0.012500
2452876.55499,I,0.000595,0.000007,16.615659,0.012773
2452879.59915,I,0.000584,0.000008,16.635919,0.014873
